交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1311,51970,52350,50300,50350,-1630,10720,-26398,50670,100378,2588205.36
cu1312,51900,52330,49950,50850,-1100,32894,-48104,50780,364710,9307165.74
cu1401,51730,52290,49770,50760,-1050,108052,-174256,50760,3086058,78896035.3
cu1402,51680,52250,49590,50600,-1130,278122,190254,50620,4015132,101566441.9
cu1403,51700,52290,49560,50530,-1220,102068,72470,50560,541236,13674725.31
cu1404,51760,52320,49570,50530,-1220,33488,17906,50550,92762,2340594.4
cu1405,51810,52350,49630,50540,-1340,14370,6486,50550,53382,1353264.9
cu1406,51820,52370,49700,50520,-1280,4708,1900,50550,8476,214743.48
cu1407,51940,52290,49770,50680,-1190,1230,230,50620,2846,72148.33
cu1408,51990,52360,49820,50660,-1320,1438,158,50610,2780,70830.35
cu1409,51930,52420,49210,50720,-1250,782,62,50650,1498,38133.81
cu1410,52040,52410,49900,50620,-1390,1160,594,50660,2338,59645.81
cu1411,50550,51130,49690,50760,50760,234,234,50710,362,9163.08
cu小计, ,52420,49210, , ,589266,41536, ,8271958,210191097.7
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1311,14410,14470,14260,14300,-155,2250,-15932,14325,20742,149257.28
al1312,14400,14450,14170,14180,-250,21346,-20224,14190,58532,418402.75
al1401,14385,14440,14055,14070,-330,47002,-7640,14075,111594,794488.99
al1402,14390,14420,13975,14005,-395,61338,28234,14000,115266,817333.58
al1403,14360,14415,13955,13975,-420,48024,30022,13970,69806,493660.45
al1404,14395,14405,13955,13970,-425,20492,13330,13970,25280,178214.14
al1405,14390,14415,13970,13985,-410,13580,10060,13985,15486,109702.47
al1406,14400,14400,13985,14005,-440,2648,2470,13995,4070,28721.66
al1407,14410,14415,14015,14030,-410,568,526,14025,908,6442.41
al1408,14350,14360,14055,14060,-420,218,158,14060,318,2255.17
al1409,14440,14440,14090,14090,-350,228,202,14095,218,1549.79
al1410,14280,14540,14100,14130,-320,122,122,14125,170,1214.98
al1411,14170,14170,14170,14170,14170,20,20,14170,20,141.7
al小计, ,14540,13955, , ,217836,41348, ,422410,3001385.35
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1311,14960,15050,14780,14915,-55,2810,-2720,14890,6340,47320.9
zn1312,14955,15075,14775,14820,-160,8250,-24254,14820,46878,349104.52
zn1401,14970,15085,14745,14750,-240,54850,-60544,14765,338524,2521567.96
zn1402,14980,15090,14725,14750,-250,131948,82918,14750,447392,3321116.41
zn1403,15000,15105,14735,14740,-280,57854,50202,14750,112812,836544.56
zn1404,15030,15140,14740,14750,-285,6216,5842,14755,11014,81665.49
zn1405,15060,15145,14360,14770,-290,842,486,14775,1214,9036.14
zn1406,15140,15175,14775,14775,-270,134,96,14775,198,1476.35
zn1407,15140,15140,14790,14790,-265,14,2,14790,78,581.2
zn1408,15095,15095,14810,14795,-325,22,8,14795,22,164.2
zn1409,14920,14970,14790,14805,-350,26,26,14835,52,385.84
zn1410,15040,15050,14870,14875,-140,18,-4,14870,54,404.51
zn小计, ,15175,14360, , ,262984,52058, ,964578,7169368.06
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
auefp, ,249,246.1,246.1,-19.45,0,0, ,1404,34726.44
au1311,262,262,251,251.55,-11.25,12,-192,251.55,384,9715.59
au1312,261.45,262.5,244.5,244.75,-18.5,15360,-64954,245.75,2076468,53176867.95
au1401,263.45,265,245.35,246.3,-17.7,1134,538,246.75,10902,276748.08
au1402,262.85,262.85,245.8,247,-19.8,60,46,247.3,306,7649.29
au1403,263.2,263.2,245.95,247.55,-21.05,98,66,247.65,268,6798.2
au1404,263.4,263.4,245.6,247.8,-16.75,22,2,248.05,82,2085.49
au1405,264,265.1,246,248.05,-16.3,70,26,248.5,1442,36459.38
au1406,263,264.55,245.15,248.1,-17.3,147810,78376,248.4,1699514,42772152.37
au1407,264.2,264.2,248.35,248.5,-16.4,30,8,248.85,174,4474.57
au1408,263.55,263.55,248.2,248.95,-15.5,118,88,249.1,226,5704.33
au1410,264.45,264.45,245.95,248.65,-16.55,32,26,248.4,72,1810.38
au小计, ,265.1,244.5, , ,164746,14030, ,3789838,96300465.63
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1311,3313,3400,3303,3400,170,540,0,3400,240,799.74
rb1312,3370,3590,3330,3450,68,480,-2540,3487,3976,13660.4
rb1401,3502,3593,3500,3550,44,268284,-741030,3550,2456322,8694645.73
rb1402,3505,3579,3462,3511,12,4346,-420,3512,3682,12901.52
rb1403,3540,3649,3500,3570,30,662,-38,3570,482,1718.44
rb1404,3622,3647,3536,3624,25,218,-32,3632,782,2822.93
rb1405,3638,3692,3583,3670,34,1523448,324094,3670,33132052,120828459.4
rb1406,3676,3699,3597,3681,46,180,132,3675,712,2605.35
rb1407,3699,3699,3600,3697,51,230,10,3697,126,458.92
rb1408,3686,3707,3597,3687,38,490,400,3687,536,1953.66
rb1409,3667,3715,3606,3692,31,1408,-778,3689,3272,11991.03
rb1410,3691,3747,3619,3708,14,283284,256780,3709,567404,2091001.67
rb1411,3690,3728,3690,3710,3710,10,10,3710,24,88.97
rb小计, ,3747,3303, , ,2083580,-163412, ,36169610,131663107.8
