交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cuefp, ,50480,50480,50480, ,0,0, ,80,2019.2
cu1312,50750,51590,50240,51250,400,6980,-25914,51240,88264,2246781.18
cu1401,50800,52600,50160,52300,1540,30792,-77260,52260,428616,10979906.43
cu1402,50690,52700,50000,52300,1700,100078,-178044,52240,2712744,69208147.04
cu1403,50600,52770,49930,52280,1750,226906,124838,52280,3463240,89304560.29
cu1404,50610,52800,49940,52310,1780,113604,80116,52310,533374,13795527.14
cu1405,50630,52860,49930,52300,1760,32570,18200,52300,145624,3755680.91
cu1406,50530,52820,49950,52300,1780,8392,3684,52330,27144,699673.52
cu1407,50650,52810,49990,52280,1600,1658,428,52360,3012,77306.16
cu1408,50650,53170,49960,52360,1700,1574,136,52470,1610,41229.44
cu1409,50590,52770,50020,52380,1660,970,188,52430,2052,52834.44
cu1410,50860,52790,50070,52430,1810,1114,-46,52480,1784,45868.63
cu1411,50690,52800,50120,52400,1640,528,294,52490,1984,51111.44
cu1412,51710,52880,51050,52380,52380,400,400,52460,764,19825.94
cu小计, ,53170,49930, , ,525566,-52980, ,7410212,190278452.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1312,14170,14365,14110,14110,-70,2490,-18856,14225,24836,176922.5
al1401,14070,14295,13985,14125,55,17910,-29092,14115,70432,497421.05
al1402,13955,14215,13820,14040,35,38508,-22830,14040,121422,853242.82
al1403,13950,14125,13875,14035,60,53020,4996,14020,142020,994739.56
al1404,13950,14100,13875,13990,20,54700,34208,13975,92924,649511.33
al1405,13950,14080,13880,13970,-15,30202,16622,13955,46996,328100.25
al1406,13975,14070,13885,13975,-30,15170,12522,13945,23046,160844.25
al1407,14030,14145,13890,13980,-50,3290,2722,13950,5606,39171.54
al1408,14065,14130,13905,13995,-65,1938,1720,13970,2812,19633.83
al1409,14090,14125,13930,13955,-135,634,406,13955,744,5208.84
al1410,14130,14160,13930,14000,-130,570,448,13970,698,4882.51
al1411,14215,14215,13970,13970,-200,68,48,13970,164,1152.72
al1412,14100,14100,13900,13995,13995,10,10,13995,22,153.95
al小计, ,14365,13820, , ,218510,2924, ,531722,3730985.13
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1312,14850,15100,14770,15050,230,2080,-6170,15045,9580,71379.95
zn1401,14790,15360,14750,15140,390,6640,-48210,15145,89996,672992.93
zn1402,14765,15400,14730,15160,410,21046,-110902,15195,416468,3127808.83
zn1403,14765,15465,14725,15195,455,109006,51152,15220,1173912,8925323.41
zn1404,14780,15475,14735,15215,465,58812,52596,15235,187728,1426243.17
zn1405,14790,15490,14750,15230,460,31874,31032,15255,81906,623967.14
zn1406,14835,15485,14760,15255,480,1546,1412,15280,4138,31612.75
zn1407,14785,15485,14785,15215,425,424,410,15245,856,6565.26
zn1408,15045,15510,15045,15380,585,130,108,15380,218,1668.15
zn1409,14840,15345,14795,15310,505,36,10,15310,42,315.49
zn1410,14930,15490,14840,15295,420,68,50,15295,164,1240.14
zn1411,15090,15490,14880,15370,370,28,28,15370,454,3466.14
zn1412,15295,15555,15260,15455,15455,24,24,15455,106,816.91
zn小计, ,15555,14725, , ,231714,-28460, ,1965568,14893400.23
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1312,246.65,247.45,239.3,240.5,-4.25,2118,-13242,240.75,18204,442544.49
au1401,248.65,249,232.7,239.5,-6.8,890,-244,237.3,11986,291075.43
au1402,248.9,249.5,235.25,237.3,-9.7,82,22,237.35,396,9629.59
au1403,249.1,249.5,236,238.05,-9.5,150,52,238.4,544,13198.74
au1404,249.7,251.2,238.05,239.25,-8.55,60,38,239.3,150,3670.26
au1405,249.75,251.4,236.7,239.3,-8.75,108,38,239.5,2006,49051.71
au1406,250.35,252.15,237.9,239.4,-8.7,169098,21288,240.45,4550228,111556865.2
au1407,250.55,252.25,238.75,240.75,-7.75,78,48,241.4,1912,46956.89
au1408,249.65,252.55,240.05,240.9,-8.05,126,8,240.9,290,7161.44
au1410,250.5,253.45,239.45,242.2,-6.45,22,-10,242.2,212,5264.78
au1412,229.3,249.4,229.3,240.95,240.95,378,378,241.75,1092,26543.6
au小计, ,253.45,229.3, , ,173110,8376, ,4587020,112451962.1
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1312,3550,3585,3400,3400,-50,420,-60,3400,360,1270.92
rb1401,3550,3605,3290,3347,-203,13264,-255020,3344,489044,1732194.68
rb1402,3515,3572,3339,3339,-172,4444,98,3351,2968,10257.94
rb1403,3576,3607,3442,3442,-128,630,-32,3450,368,1300.53
rb1404,3616,3690,3510,3535,-89,384,166,3524,1360,4914.28
